intersection_id,tollgate_id,starting_time,avg_travel_time,week,hour,minute,holidays,index,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,cross_in_number,cross_out_number,length,link_count,3_length,3_count,1_length,1_count,2_length,2_count,4_length,4_count
C,1,2016-07-19 00:00:00,214.87,2,0,0,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 00:20:00,214.87,2,0,20,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 00:40:00,214.87,2,0,40,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 01:00:00,214.87,2,1,0,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 01:20:00,214.87,2,1,20,0,144,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 01:40:00,160.635,2,1,40,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 02:00:00,163.59777777777776,2,2,0,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 02:20:00,166.56055555555554,2,2,20,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 02:40:00,169.52333333333334,2,2,40,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 03:00:00,172.48611111111111,2,3,0,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 03:20:00,175.4488888888889,2,3,20,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 03:40:00,178.41166666666666,2,3,40,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 04:00:00,181.37444444444446,2,4,0,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 04:20:00,184.33722222222224,2,4,20,0,145,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 04:40:00,187.3,2,4,40,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 05:00:00,180.57,2,5,0,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 05:20:00,173.84,2,5,20,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 05:40:00,167.11,2,5,40,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 06:00:00,160.38,2,6,0,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
C,1,2016-07-19 06:20:00,147.47,2,6,20,0,146,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2,1,1550,12,1045.0,6.0,217,3,144.0,1.0,144.0,2.0
